range_start range_end nr_slaves primes_count wall_time_ms
2 1600000000  8 79451833  11513.3
2 1600000000  8 79451833  11914.9
2 1600000000  8 79451833  11542.3
2 1600000000  8 79451833  12140.2
2 1600000000  8 79451833  12011.5
2 1600000000  10  79451833  11066.1
2 1600000000  10  79451833  11138.3
2 1600000000  10  79451833  11677.6
2 1600000000  10  79451833  11608.3
2 1600000000  10  79451833  11582.6
2 1600000000  12  79451833  11179.7
2 1600000000  12  79451833  10842.2
2 1600000000  12  79451833  11424.6
2 1600000000  12  79451833  11407.7
2 1600000000  12  79451833  11330.5
2 1600000000  2 79451833  19690.7
2 1600000000  2 79451833  19538.4
2 1600000000  2 79451833  19968.6
2 1600000000  2 79451833  19414.4
2 1600000000  2 79451833  19400.1
2 1600000000  4 79451833  13460.2
2 1600000000  4 79451833  13792.7
2 1600000000  4 79451833  13692.2
2 1600000000  4 79451833  13754.7
2 1600000000  4 79451833  13643.8
2 1600000000  6 79451833  12284.8
2 1600000000  6 79451833  12531.7
2 1600000000  6 79451833  12080.3
2 1600000000  6 79451833  12183.7
2 1600000000  6 79451833  12916.7
2 1600000000  1 79451833  35742
2 1600000000  1 79451833  35952.1
2 1600000000  1 79451833  36193.7
2 1600000000  1 79451833  36070.4
2 1600000000  1 79451833  36123.4
