payload_size delay num_messages message_id arrival_rank rtt_ms
10 none 10 6 0 22.4566
10 none 10 5 1 23.4036
10 none 10 1 2 24.6485
10 none 10 2 3 26.3242
10 none 10 0 4 29.4491
10 none 10 8 5 32.2245
10 none 10 9 6 34.5091
10 none 10 7 7 36.9355
10 none 10 3 8 39.1056
10 none 10 4 9 41.2954
10 none 10 6 0 19.1968
10 none 10 2 1 20.3602
10 none 10 0 2 21.7874
10 none 10 9 3 23.0462
10 none 10 3 4 24.7047
10 none 10 1 5 26.0193
10 none 10 4 6 27.692
10 none 10 5 7 30.6445
10 none 10 8 8 32.8252
10 none 10 7 9 41.8973
10 none 10 1 0 17.2929
10 none 10 8 1 18.5921
10 none 10 6 2 19.8766
10 none 10 2 3 21.1698
10 none 10 0 4 22.4382
10 none 10 9 5 23.9678
10 none 10 3 6 25.7189
10 none 10 4 7 27.3246
10 none 10 7 8 30.3321
10 none 10 5 9 31.1604
10 none 10 8 0 16.662
10 none 10 6 1 17.6304
10 none 10 5 2 18.7494
10 none 10 4 3 20.0402
10 none 10 9 4 21.1906
10 none 10 1 5 23.3248
10 none 10 7 6 24.8091
10 none 10 3 7 26.9267
10 none 10 0 8 28.3609
10 none 10 2 9 38.8303
10 none 10 0 0 16.6931
10 none 10 2 1 17.7097
10 none 10 1 2 18.6787
10 none 10 8 3 19.959
10 none 10 6 4 21.2108
10 none 10 9 5 22.6921
10 none 10 4 6 24.3602
10 none 10 3 7 25.7621
10 none 10 5 8 27.7617
10 none 10 7 9 30.5331
10 none 10 6 0 14.4876
10 none 10 7 1 15.5275
10 none 10 3 2 17.1157
10 none 10 9 3 20.1256
10 none 10 5 4 21.9151
10 none 10 8 5 26.31
10 none 10 2 6 27.4405
10 none 10 0 7 29.2333
10 none 10 4 8 30.614
10 none 10 1 9 32.1104
10 none 10 6 0 18.7316
10 none 10 5 1 19.7157
10 none 10 1 2 20.8905
10 none 10 2 3 22.4047
10 none 10 7 4 23.7133
10 none 10 9 5 24.8861
10 none 10 3 6 26.6176
10 none 10 4 7 28.3123
10 none 10 0 8 31.3355
10 none 10 8 9 33.4978
10 none 10 2 0 17.1287
10 none 10 5 1 18.0361
10 none 10 6 2 19.2774
10 none 10 3 3 20.518
10 none 10 4 4 21.9341
10 none 10 0 5 23.5733
10 none 10 1 6 25.1478
10 none 10 8 7 26.6387
10 none 10 9 8 28.7778
10 none 10 7 9 30.9567
10 none 10 0 0 17.087
10 none 10 1 1 18.0023
10 none 10 6 2 19.0039
10 none 10 9 3 20.483
10 none 10 5 4 21.7177
10 none 10 4 5 23.0411
10 none 10 2 6 24.3337
10 none 10 3 7 25.8007
10 none 10 8 8 29.3067
10 none 10 7 9 31.1906
10 none 10 1 0 17.5051
10 none 10 7 1 19.0184
10 none 10 6 2 20.3182
10 none 10 4 3 21.7174
10 none 10 2 4 22.77
10 none 10 0 5 24.343
10 none 10 9 6 25.9909
10 none 10 3 7 27.8224
10 none 10 8 8 30.9392
10 none 10 5 9 32.0217
10 none 4 3 0 5.43726
10 none 4 0 1 6.0887
10 none 4 2 2 12.0099
10 none 4 1 3 16.4718
10 none 4 1 0 4.27507
10 none 4 0 1 4.99623
10 none 4 3 2 5.72585
10 none 4 2 3 35.12
10 none 4 1 0 4.78915
10 none 4 0 1 5.45387
10 none 4 3 2 6.36823
10 none 4 2 3 16.9007
10 none 4 0 0 5.33886
10 none 4 1 1 6.20099
10 none 4 2 2 6.88231
10 none 4 3 3 7.86248
10 none 4 1 0 4.69889
10 none 4 3 1 5.53205
10 none 4 0 2 6.19677
10 none 4 2 3 6.85243
10 none 4 1 0 4.58418
10 none 4 2 1 5.33403
10 none 4 0 2 6.11617
10 none 4 3 3 7.29768
10 none 4 1 0 4.8453
10 none 4 0 1 5.58971
10 none 4 2 2 6.22816
10 none 4 3 3 7.01423
10 none 4 1 0 4.86039
10 none 4 2 1 5.54986
10 none 4 3 2 6.38815
10 none 4 0 3 7.16667
10 none 4 1 0 4.3768
10 none 4 2 1 4.93012
10 none 4 0 2 5.72917
10 none 4 3 3 6.35766
10 none 4 1 0 4.75051
10 none 4 0 1 5.39651
10 none 4 2 2 6.35797
10 none 4 3 3 7.07672
10 none 1 0 0 2.87289
10 none 1 0 0 3.13672
10 none 1 0 0 2.87621
10 none 1 0 0 2.38597
10 none 1 0 0 2.63803
10 none 1 0 0 3.166
10 none 1 0 0 2.88315
10 none 1 0 0 2.87409
10 none 1 0 0 2.65977
10 none 1 0 0 2.60604
50 none 10 2 0 42.9578
50 none 10 5 1 45.5801
50 none 10 1 2 48.7259
50 none 10 6 3 52.0854
50 none 10 0 4 57.3856
50 none 10 9 5 61.181
50 none 10 4 6 65.5578
50 none 10 8 7 70.4903
50 none 10 3 8 75.9551
50 none 10 7 9 78.3625
50 none 10 1 0 21.2691
50 none 10 2 1 22.3736
50 none 10 5 2 25.1188
50 none 10 6 3 26.2246
50 none 10 9 4 27.4257
50 none 10 3 5 29.1563
50 none 10 0 6 30.8697
50 none 10 4 7 33.9826
50 none 10 7 8 36.1872
50 none 10 8 9 38.3401
50 none 10 0 0 17.4809
50 none 10 2 1 18.468
50 none 10 5 2 20.0064
50 none 10 6 3 21.0131
50 none 10 1 4 22.4609
50 none 10 4 5 24.0505
50 none 10 9 6 25.5565
50 none 10 3 7 27.1021
50 none 10 8 8 29.9409
50 none 10 7 9 32.2961
50 none 10 1 0 17.97
50 none 10 2 1 19.5394
50 none 10 5 2 20.464
50 none 10 6 3 21.6989
50 none 10 3 4 23.3695
50 none 10 7 5 24.9123
50 none 10 9 6 26.7408
50 none 10 4 7 28.4729
50 none 10 8 8 31.254
50 none 10 0 9 32.3655
50 none 10 5 0 16.79
50 none 10 1 1 17.8936
50 none 10 2 2 19.0561
50 none 10 4 3 20.5337
50 none 10 8 4 21.7506
50 none 10 3 5 22.8654
50 none 10 0 6 24.7273
50 none 10 6 7 26.9617
50 none 10 7 8 28.3872
50 none 10 9 9 29.9454
50 none 10 6 0 16.7836
50 none 10 5 1 17.691
50 none 10 2 2 18.9746
50 none 10 0 3 20.4063
50 none 10 1 4 21.7177
50 none 10 7 5 22.7181
50 none 10 9 6 24.7336
