payload_size slaves_processing message_id half_rtt_ms
100 none 6 18.4628
100 none 8 19.4347
100 none 1 20.4803
100 none 4 22.4652
100 none 5 23.4658
100 none 3 25.4742
100 none 9 27.4332
100 none 2 28.4754
500 none 0 66.0809
500 none 8 69.9804
500 none 1 77.0613
500 none 5 81.9728
500 none 3 87.0151
500 none 7 94.9532
500 none 2 102.053
500 none 6 108.963
500 none 4 115.983
500 none 9 119.935
500 none 1 16.6976
500 none 3 18.6931
500 none 9 19.6677
500 none 8 20.6617
500 none 2 22.6949
500 none 0 23.7
500 none 4 25.6883
500 none 5 27.6813
500 none 6 29.6825
500 none 7 31.6373
500 none 8 65.5061
500 none 0 70.587
500 none 3 77.5565
500 none 1 82.5656
500 none 6 87.4901
500 none 5 93.5028
500 none 2 101.563
500 none 7 108.477
500 none 4 115.545
500 none 9 120.462
500 none 8 45.5569
500 none 0 49.6152
500 none 7 52.5412
500 none 2 56.5811
500 none 1 60.6034
500 none 3 65.5895
500 none 4 69.5699
500 none 5 74.5512
500 none 9 79.5216
500 none 6 81.5548
500 none 8 44.6692
500 none 1 48.7099
500 none 4 51.6879
500 none 5 55.6846
500 none 0 59.7259
500 none 9 63.6326
500 none 2 68.7063
500 none 7 73.6423
500 none 3 78.7009
500 none 6 80.6511
500 none 1 18.0304
500 none 0 20.0337
500 none 6 21.0096
500 none 5 23.012
500 none 3 25.0177
500 none 8 25.9845
500 none 9 27.9878
500 none 4 30.0114
500 none 7 31.0083
500 none 2 33.028
500 none 8 45.0436
500 none 5 49.0577
500 none 0 52.0888
500 none 3 57.0599
500 none 4 61.0584
500 none 6 65.0215
500 none 1 69.055
500 none 7 74.014
500 none 2 79.0744
500 none 9 82.0034
500 none 8 28.4025
500 none 7 31.385
500 none 0 33.4116
500 none 6 36.3811
500 none 3 38.3965
500 none 2 41.4001
500 none 1 44.398
500 none 9 47.3618
500 none 4 50.3862
500 none 5 51.3893
500 none 8 53.7711
500 none 1 57.8067
500 none 0 61.8112
500 none 3 66.7919
500 none 5 71.7726
500 none 7 76.7466
500 none 4 81.7828
500 none 6 86.7572
500 none 9 92.7219
500 none 2 95.7877
500 none 9 18.138
500 none 8 19.1313
500 none 3 21.1745
500 none 5 23.1669
500 none 7 26.1238
500 none 2 27.1784
500 none 0 29.1863
500 none 1 30.1799
500 none 4 33.1594
500 none 6 34.1663
1000 none 6 16.3106
1000 none 3 18.3411
1000 none 0 19.3535
1000 none 2 20.3311
1000 none 8 22.3
1000 none 9 23.2997
1000 none 7 25.3079
1000 none 4 27.3169
1000 none 1 28.3429
1000 none 5 29.3018
1000 none 8 18.3658
1000 none 5 19.3821
1000 none 1 20.4011
1000 none 4 21.3855
1000 none 0 23.3761
1000 none 9 24.3676
1000 none 6 26.3827
1000 none 2 28.3972
1000 none 3 30.3912
1000 none 7 32.3362
1000 none 3 16.8872
1000 none 4 17.8866
1000 none 8 18.8549
1000 none 7 20.8631
1000 none 5 22.8661
1000 none 2 23.8854
1000 none 0 25.8957
1000 none 1 27.8899
1000 none 9 28.8416
1000 none 6 31.8241
1000 none 8 32.4168
1000 none 0 34.4512
1000 none 5 37.4047
1000 none 3 41.3915
1000 none 4 43.4093
1000 none 7 46.3954
1000 none 9 49.3637
1000 none 2 53.4286
1000 none 6 56.3981
1000 none 1 58.4334
1000 none 8 45.3882
1000 none 0 49.4009
1000 none 2 53.3761
1000 none 3 56.3758
1000 none 1 60.3885
1000 none 5 65.3604
1000 none 6 69.3523
1000 none 4 74.3689
1000 none 7 78.345
1000 none 9 82.3302
1000 none 0 15.6767
1000 none 4 17.6661
1000 none 8 18.6546
1000 none 7 19.6591
1000 none 5 20.6637
1000 none 2 24.6709
1000 none 9 25.6471
1000 none 1 27.6703
1000 none 3 29.6688
1000 none 6 30.6613
1000 none 8 32.5563
1000 none 6 35.5099
1000 none 0 37.5672
1000 none 1 40.5612
1000 none 4 43.54
1000 none 5 46.5397
1000 none 9 49.5138
1000 none 2 52.5536
1000 none 3 56.547
1000 none 7 58.5222
1000 none 1 17.7757
1000 none 4 18.7711
1000 none 8 19.7443
1000 none 3 20.7696
1000 none 5 22.7621
1000 none 9 24.7416
1000 none 0 25.7808
1000 none 2 27.7766
1000 none 7 29.7582
1000 none 6 32.7186
1000 none 0 15.9778
1000 none 8 16.9295
1000 none 2 18.9531
1000 none 9 19.9325
1000 none 5 21.9473
1000 none 4 22.9534
1000 none 1 24.9724
1000 none 7 26.9455
1000 none 6 28.9446
1000 none 3 29.9615
1000 none 8 45.4383
1000 none 4 50.4598
1000 none 0 53.486
1000 none 6 57.4287
1000 none 2 61.4697
1000 none 5 65.441
1000 none 1 70.4767
1000 none 3 74.4634
1000 none 7 79.4154
1000 none 9 82.3807
5000 none 8 16.7583
5000 none 7 20.7625
5000 none 4 21.7649
5000 none 9 24.729
5000 none 5 25.7758
5000 none 0 27.7957
5000 none 2 29.7782
5000 none 1 30.7924
5000 none 3 32.7773
5000 none 6 35.6813
5000 none 4 17.6818
5000 none 3 19.6978
5000 none 6 21.6839
5000 none 8 23.6824
5000 none 0 24.7195
5000 none 1 26.7189
5000 none 5 28.6785
5000 none 9 30.6736
5000 none 2 32.7108
5000 none 7 35.5924
5000 none 4 66.5088
5000 none 8 70.4119
5000 none 0 77.4569
5000 none 6 83.3524
5000 none 2 89.4348
5000 none 5 94.3491
5000 none 7 103.338
5000 none 9 110.325
5000 none 3 118.42
5000 none 1 121.439
5000 none 8 30.6517
5000 none 1 35.5931
5000 none 0 38.6058
5000 none 5 41.5672
5000 none 6 44.5651
5000 none 4 48.5738
5000 none 2 51.5925
5000 none 7 54.5599
5000 none 3 58.5723
5000 none 9 61.5554
5000 none 3 44.0714
5000 none 8 47.0131
5000 none 0 51.011
5000 none 5 54.9633
5000 none 2 58.9917
5000 none 4 63.9784
