payload_size delay num_messages message_id arrival_rank half_rtt_ms
10000000 none 8 1 1 2437.21
10000000 none 8 6 2 3484.13
10000000 none 8 2 3 4615.31
10000000 none 8 5 4 5608.43
10000000 none 8 4 5 6704.26
10000000 none 8 3 6 7693.56
10000000 none 8 0 7 8808.13
10000000 none 8 1 0 1250.14
10000000 none 8 2 1 2337.85
10000000 none 8 4 2 3674.53
10000000 none 8 6 3 5032.49
10000000 none 8 5 4 6015.29
10000000 none 8 7 5 7172.58
10000000 none 8 0 6 8307.7
10000000 none 8 3 7 9403.78
10000000 none 8 5 0 1266.49
10000000 none 8 1 1 1296.25
10000000 none 8 4 2 2333.24
10000000 none 8 7 3 3626.45
10000000 none 8 0 4 4693.78
10000000 none 8 3 5 5733.67
10000000 none 8 6 6 7045.02
10000000 none 8 2 7 8046.65
8000000 none 10 2 0 835.674
8000000 none 10 1 1 1896.41
8000000 none 10 4 2 2879.24
8000000 none 10 6 3 3974.58
8000000 none 10 5 4 4913.74
8000000 none 10 9 5 5973.6
8000000 none 10 0 6 6882.42
8000000 none 10 3 7 7783.9
8000000 none 10 8 8 8748.91
8000000 none 10 7 9 9596.52
8000000 none 10 4 0 823.946
8000000 none 10 3 1 1667.56
8000000 none 10 0 2 2624.7
8000000 none 10 8 3 3448.27
8000000 none 10 5 4 4411.51
8000000 none 10 1 5 5444.67
8000000 none 10 9 6 6318.21
8000000 none 10 7 7 7121
8000000 none 10 6 8 8035.74
8000000 none 10 2 9 8891.14
8000000 none 10 9 0 1068.8
8000000 none 10 5 1 2003.2
8000000 none 10 3 2 2787.5
8000000 none 10 1 3 3837.05
8000000 none 10 2 4 4821.92
8000000 none 10 6 5 5640.72
8000000 none 10 0 6 6486.09
8000000 none 10 4 7 7358.12
8000000 none 10 7 8 8102.49
8000000 none 10 8 9 9136.42
8000000 none 10 0 0 861.382
8000000 none 10 5 1 1672.77
8000000 none 10 9 2 2760.49
8000000 none 10 8 3 3549.82
8000000 none 10 1 4 4370.48
8000000 none 10 4 5 5385.62
8000000 none 10 6 6 6144.94
8000000 none 10 3 7 6974.27
8000000 none 10 2 8 7852.1
8000000 none 10 7 9 8698.25
8000000 none 10 5 0 807.305
8000000 none 10 3 1 1674.75
8000000 none 10 4 2 2540.63
8000000 none 10 1 3 3515.59
8000000 none 10 9 4 4670.86
8000000 none 10 0 5 5594.87
8000000 none 10 8 6 6566.81
8000000 none 10 6 7 7440.36
8000000 none 10 7 8 8236.93
8000000 none 10 2 9 9067.13
8000000 none 10 4 0 1008.55
8000000 none 10 3 1 1915.35
8000000 none 10 5 2 2660.11
8000000 none 10 2 3 3455.51
8000000 none 10 9 4 4475.16
8000000 none 10 1 5 5472.94
8000000 none 10 0 6 6310.05
8000000 none 10 8 7 7102.92
8000000 none 10 7 8 7946.21
8000000 none 10 6 9 8793.3
8000000 none 10 2 0 908.021
8000000 none 10 5 1 1662.88
8000000 none 10 9 2 2826.34
8000000 none 10 4 3 3699.59
8000000 none 10 8 4 4592.7
8000000 none 10 1 5 5482.06
8000000 none 10 3 6 6412.33
8000000 none 10 0 7 7277.03
8000000 none 10 7 8 8252.96
8000000 none 10 6 9 9270.71
8000000 none 10 1 0 821.934
8000000 none 10 0 1 1710.33
8000000 none 10 7 2 2712.4
8000000 none 10 3 3 3510.6
8000000 none 10 2 4 4545.89
8000000 none 10 5 5 5464.3
8000000 none 10 9 6 6307.23
8000000 none 10 4 7 7191.36
8000000 none 10 6 8 8124.65
8000000 none 10 8 9 9057.89
8000000 none 10 3 0 876.968
8000000 none 10 0 1 1864.94
8000000 none 10 2 2 2655.61
8000000 none 10 8 3 3522.97
8000000 none 10 6 4 4350.62
8000000 none 10 1 5 5468.65
8000000 none 10 4 6 6482.22
8000000 none 10 5 7 7287.83
8000000 none 10 9 8 8373.77
8000000 none 10 7 9 9301.74
8000000 none 10 1 0 808.912
8000000 none 10 0 1 1714.94
8000000 none 10 5 2 2523.24
8000000 none 10 7 3 3574.27
8000000 none 10 4 4 4576.96
8000000 none 10 9 5 5470.48
8000000 none 10 3 6 6222.47
8000000 none 10 2 7 7139.77
8000000 none 10 6 8 8022.47
8000000 none 10 8 9 8875.92
6666666 none 12 2 0 752.117
6666666 none 12 0 1 1522.73
6666666 none 12 3 2 2310.74
6666666 none 12 6 3 3029.74
6666666 none 12 5 4 3806.26
6666666 none 12 7 5 4420.42
6666666 none 12 8 6 5144.39
6666666 none 12 10 7 5840.77
6666666 none 12 1 8 6644.89
6666666 none 12 11 9 7291.43
6666666 none 12 9 10 7981.79
6666666 none 12 4 11 8756.27
6666666 none 12 5 0 645.305
6666666 none 12 8 1 1384.62
6666666 none 12 0 2 2179.64
6666666 none 12 9 3 3009.77
6666666 none 12 1 4 3733.43
6666666 none 12 4 5 4512.03
6666666 none 12 2 6 5382.07
6666666 none 12 3 7 6162.87
6666666 none 12 10 8 7052.15
6666666 none 12 6 9 7730.52
6666666 none 12 7 10 8468.83
6666666 none 12 11 11 9307.19
6666666 none 12 4 0 666.844
6666666 none 12 9 1 1360.25
6666666 none 12 2 2 2049.89
6666666 none 12 8 3 2703.94
6666666 none 12 5 4 3363.62
6666666 none 12 0 5 4062.43
6666666 none 12 7 6 4776.8
6666666 none 12 11 7 5684.99
6666666 none 12 3 8 6250.4
6666666 none 12 10 9 7003.91
6666666 none 12 1 10 7746.4
6666666 none 12 6 11 8428.22
6666666 none 12 0 0 816.175
6666666 none 12 5 1 1493.87
6666666 none 12 11 2 2447.79
6666666 none 12 2 3 3134.47
6666666 none 12 10 4 4004.56
6666666 none 12 4 5 4735.97
6666666 none 12 1 6 5488.78
6666666 none 12 6 7 6138.01
6666666 none 12 7 8 7061.82
6666666 none 12 8 9 7717.35
6666666 none 12 3 10 8393.86
6666666 none 12 9 11 9109.91
6666666 none 12 3 0 673.733
6666666 none 12 5 1 1419.97
6666666 none 12 4 2 2182.04
6666666 none 12 10 3 2917.85
6666666 none 12 0 4 3615.34
6666666 none 12 6 5 4335.3
6666666 none 12 1 6 5044.06
6666666 none 12 7 7 5725.93
6666666 none 12 2 8 6450.3
6666666 none 12 9 9 7159.64
6666666 none 12 8 10 7956.95
6666666 none 12 11 11 8726.43
6666666 none 12 5 0 683.365
6666666 none 12 3 1 1390.24
6666666 none 12 2 2 2096.04
6666666 none 12 10 3 2751.93
6666666 none 12 6 4 3507.55
6666666 none 12 0 5 4236.79
6666666 none 12 9 6 5032.23
6666666 none 12 4 7 5757.23
6666666 none 12 7 8 6442.28
6666666 none 12 1 9 7313.69
6666666 none 12 8 10 7925.8
6666666 none 12 11 11 8865.29
6666666 none 12 1 0 800.894
6666666 none 12 8 1 1608.11
6666666 none 12 5 2 2281.35
6666666 none 12 7 3 3154.4
6666666 none 12 3 4 3797.89
6666666 none 12 6 5 4519.51
6666666 none 12 2 6 5289.86
6666666 none 12 11 7 5963.7
6666666 none 12 4 8 6815.28
6666666 none 12 10 9 7623.93
6666666 none 12 9 10 8504
6666666 none 12 0 11 9160.66
6666666 none 12 6 0 700.453
6666666 none 12 5 1 1429.95
6666666 none 12 4 2 2286.1
6666666 none 12 0 3 3092.27
6666666 none 12 2 4 3786.96
6666666 none 12 10 5 4463.88
6666666 none 12 1 6 5299.14
6666666 none 12 11 7 6269.11
6666666 none 12 9 8 7088.95
6666666 none 12 8 9 7858.83
6666666 none 12 3 10 8542.17
6666666 none 12 7 11 9368.47
6666666 none 12 0 0 763.174
6666666 none 12 5 1 1482.49
6666666 none 12 1 2 2196.61
6666666 none 12 2 3 2917.31
6666666 none 12 6 4 3614.6
6666666 none 12 4 5 4460.85
6666666 none 12 3 6 5244.57
6666666 none 12 10 7 6136.93
6666666 none 12 11 8 6866.55
6666666 none 12 8 9 7584.89
6666666 none 12 7 10 8280.33
6666666 none 12 9 11 9194.78
6666666 none 12 3 0 882.032
6666666 none 12 5 1 1530.11
6666666 none 12 10 2 2282.77
6666666 none 12 0 3 2950.34
6666666 none 12 2 4 3602.61
6666666 none 12 8 5 4476.72
6666666 none 12 1 6 5186.62
6666666 none 12 6 7 5968.86
6666666 none 12 9 8 6831.3
6666666 none 12 7 9 7665.76
6666666 none 12 4 10 8532.12
6666666 none 12 11 11 9457.33
